title,category,price_gbp,price_inr,rating,in_stock,stock_count
It's Only the Himalayas,Travel,45.17,4765.44,2,True,19
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,Travel,49.43,5214.86,4,True,15
See America: A Celebration of Our National Parks & Treasured Sites,Travel,48.87,5155.78,3,True,14
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Travel,36.94,3897.17,2,True,8
Under the Tuscan Sun,Travel,37.33,3938.31,3,True,7
A Summer In Europe,Travel,44.34,4677.87,2,True,7
The Great Railway Bazaar,Travel,30.54,3221.97,1,True,6
A Year in Provence (Provence #1),Travel,56.88,6000.84,4,True,6
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Travel,23.21,2448.66,1,True,3
Neither Here nor There: Travels in Europe,Travel,38.95,4109.23,3,True,3
"1,000 Places to See Before You Die",Travel,26.08,2751.44,5,True,1
Sharp Objects,Mystery,47.82,5045.01,4,True,20
"In a Dark, Dark Wood",Mystery,19.63,2070.96,1,True,18
The Past Never Ends,Mystery,56.5,5960.75,4,True,16
A Murder in Time,Mystery,16.64,1755.52,1,True,16
The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,44.1,4652.55,4,True,15
The Last Mile (Amos Decker #2),Mystery,54.21,5719.15,2,True,14
That Darkness (Gardiner and Renner #1),Mystery,13.92,1468.56,1,True,14
Tastes Like Fear (DI Marnie Rome #3),Mystery,10.69,1127.79,1,True,14
A Time of Torment (Charlie Parker #14),Mystery,48.35,5100.93,5,True,14
A Study in Scarlet (Sherlock Holmes #1),Mystery,16.73,1765.02,2,True,14
Poisonous (Max Revere Novels #3),Mystery,26.8,2827.4,3,True,12
Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,54.36,5734.98,4,True,12
Most Wanted,Mystery,35.28,3722.04,3,True,12
Hide Away (Eve Duncan #20),Mystery,11.84,1249.12,1,True,12
Boar Island (Anna Pigeon #19),Mystery,59.48,6275.14,3,True,12
The Widow,Mystery,27.26,2875.93,2,True,11
Playing with Fire,Mystery,13.71,1446.41,3,True,11
What Happened on Beale Street (Secrets of the South Mysteries #2),Mystery,25.37,2676.54,5,True,7
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery,52.3,5517.65,5,True,7
Delivering the Truth (Quaker Midwife Mystery #1),Mystery,20.89,2203.89,4,True,7
The Mysterious Affair at Styles (Hercule Poirot #1),Mystery,24.8,2616.4,4,True,6
In the Woods (Dublin Murder Squad #1),Mystery,38.38,4049.09,2,True,6
The Silkworm (Cormoran Strike #2),Mystery,23.05,2431.78,5,True,3
The Exiled,Mystery,43.45,4583.98,3,True,3
The Cuckoo's Calling (Cormoran Strike #1),Mystery,19.21,2026.66,1,True,3
Extreme Prey (Lucas Davenport #26),Mystery,25.4,2679.7,3,True,3
Career of Evil (Cormoran Strike #3),Mystery,24.72,2607.96,2,True,3
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Mystery,57.7,6087.35,4,True,1
The Girl You Lost,Mystery,12.29,1296.59,5,True,1
The Girl In The Ice (DCI Erika Foster #1),Mystery,15.85,1672.17,3,True,1
Blood Defense (Samantha Brinkman #1),Mystery,20.3,2141.65,3,True,1
1st to Die (Women's Murder Club #1),Mystery,53.98,5694.89,1,True,1
Tipping the Velvet,Historical Fiction,53.74,5669.57,1,True,20
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Historical Fiction,29.69,3132.3,3,True,16
A Flight of Arrows (The Pathfinders #2),Historical Fiction,55.53,5858.41,5,True,16
The House by the Lake,Historical Fiction,36.95,3898.23,1,True,15
Mrs. Houdini,Historical Fiction,30.25,3191.38,5,True,15
The Marriage of Opposites,Historical Fiction,28.08,2962.44,4,True,14
Glory over Everything: Beyond The Kitchen House,Historical Fiction,45.84,4836.12,3,True,14
"Love, Lies and Spies",Historical Fiction,20.55,2168.03,2,True,12
A Paris Apartment,Historical Fiction,39.01,4115.55,4,True,12
Lilac Girls,Historical Fiction,17.28,1823.04,2,True,11
The Constant Princess (The Tudor Court #1),Historical Fiction,16.62,1753.41,3,True,7
The Invention of Wings,Historical Fiction,37.34,3939.37,1,True,6
World Without End (The Pillars of the Earth #2),Historical Fiction,32.97,3478.34,4,True,5
The Passion of Dolssa,Historical Fiction,28.32,2987.76,5,True,4
Girl With a Pearl Earring,Historical Fiction,26.77,2824.24,1,True,4
Voyager (Outlander #3),Historical Fiction,21.07,2222.89,5,True,3
The Red Tent,Historical Fiction,35.66,3762.13,5,True,3
The Last Painting of Sara de Vos,Historical Fiction,55.55,5860.52,2,True,3
The Guernsey Literary and Potato Peel Pie Society,Historical Fiction,49.53,5225.41,1,True,3
Girl in the Blue Coat,Historical Fiction,46.83,4940.56,2,True,3
Between Shades of Gray,Historical Fiction,20.79,2193.34,5,True,3
While You Were Mine,Historical Fiction,41.32,4359.26,5,True,1
The Secret Healer,Historical Fiction,34.56,3646.08,3,True,1
Starlark,Historical Fiction,25.83,2725.06,3,True,1
Lost Among the Living,Historical Fiction,27.7,2922.35,4,True,1
A Spy's Devotion (The Regency Spies of London #1),Historical Fiction,16.97,1790.33,5,True,1
